datetime,cpu,mem
Thu Aug  1 11:10:08 GMT 2019,7.5,93268
Thu Aug  1 11:10:09 GMT 2019,7.5,93685
Thu Aug  1 11:10:09 GMT 2019,7.5,119975
Thu Aug  1 11:10:09 GMT 2019,7.5,131024
Thu Aug  1 11:10:09 GMT 2019,7.5,131122
Thu Aug  1 11:10:10 GMT 2019,7.5,148001
Thu Aug  1 11:10:10 GMT 2019,7.5,147993
Thu Aug  1 11:10:10 GMT 2019,7.5,147988
Thu Aug  1 11:10:10 GMT 2019,7.5,147979
Thu Aug  1 11:10:10 GMT 2019,7.5,147946
Thu Aug  1 11:10:11 GMT 2019,7.5,147946
Thu Aug  1 11:10:11 GMT 2019,7.5,147946
Thu Aug  1 11:10:11 GMT 2019,7.5,147950
Thu Aug  1 11:10:11 GMT 2019,7.5,147954
Thu Aug  1 11:10:12 GMT 2019,7.5,147950
Thu Aug  1 11:10:12 GMT 2019,7.5,150419
Thu Aug  1 11:10:12 GMT 2019,7.5,152092
Thu Aug  1 11:10:13 GMT 2019,7.5,152530
Thu Aug  1 11:10:13 GMT 2019,7.5,154064
Thu Aug  1 11:10:13 GMT 2019,7.5,158005
Thu Aug  1 11:10:13 GMT 2019,7.5,162477
Thu Aug  1 11:10:14 GMT 2019,7.5,162052
Thu Aug  1 11:10:14 GMT 2019,7.5,162056
Thu Aug  1 11:10:14 GMT 2019,7.5,162114
Thu Aug  1 11:12:36 GMT 2019,17,93380
Thu Aug  1 11:12:36 GMT 2019,17,93732
Thu Aug  1 11:12:36 GMT 2019,17,117086
Thu Aug  1 11:12:37 GMT 2019,17,131352
Thu Aug  1 11:12:37 GMT 2019,17,131350
Thu Aug  1 11:12:37 GMT 2019,17,148255
Thu Aug  1 11:12:37 GMT 2019,17,148267
Thu Aug  1 11:12:38 GMT 2019,17,148265
Thu Aug  1 11:12:38 GMT 2019,17,148219
Thu Aug  1 11:12:38 GMT 2019,17,148257
Thu Aug  1 11:12:38 GMT 2019,17,148257
Thu Aug  1 11:12:39 GMT 2019,17,148257
Thu Aug  1 11:12:39 GMT 2019,17,148265
Thu Aug  1 11:12:39 GMT 2019,17,148265
Thu Aug  1 11:12:40 GMT 2019,17,151227
Thu Aug  1 11:12:40 GMT 2019,17,139504
Thu Aug  1 11:12:40 GMT 2019,17,159479
Thu Aug  1 11:12:40 GMT 2019,17,159557
Thu Aug  1 11:12:41 GMT 2019,17,159601
Thu Aug  1 11:12:41 GMT 2019,17,159704
Thu Aug  1 11:12:41 GMT 2019,17,159267
Thu Aug  1 11:12:41 GMT 2019,17,159283
Thu Aug  1 11:12:42 GMT 2019,17,159341
