datetime,cpu,mem
Thu Aug  1 11:10:08 GMT 2019,7.5,93268
Thu Aug  1 11:10:09 GMT 2019,7.5,93685
Thu Aug  1 11:10:09 GMT 2019,7.5,119975
Thu Aug  1 11:10:09 GMT 2019,7.5,131024
Thu Aug  1 11:10:09 GMT 2019,7.5,131122
Thu Aug  1 11:10:10 GMT 2019,7.5,148001
Thu Aug  1 11:10:10 GMT 2019,7.5,147993
Thu Aug  1 11:10:10 GMT 2019,7.5,147988
Thu Aug  1 11:10:10 GMT 2019,7.5,147979
Thu Aug  1 11:10:10 GMT 2019,7.5,147946
Thu Aug  1 11:10:11 GMT 2019,7.5,147946
Thu Aug  1 11:10:11 GMT 2019,7.5,147946
Thu Aug  1 11:10:11 GMT 2019,7.5,147950
Thu Aug  1 11:10:11 GMT 2019,7.5,147954
Thu Aug  1 11:10:12 GMT 2019,7.5,147950
Thu Aug  1 11:10:12 GMT 2019,7.5,150419
Thu Aug  1 11:10:12 GMT 2019,7.5,152092
Thu Aug  1 11:10:13 GMT 2019,7.5,152530
Thu Aug  1 11:10:13 GMT 2019,7.5,154064
Thu Aug  1 11:10:13 GMT 2019,7.5,158005
Thu Aug  1 11:10:13 GMT 2019,7.5,162477
Thu Aug  1 11:10:14 GMT 2019,7.5,162052
Thu Aug  1 11:10:14 GMT 2019,7.5,162056
Thu Aug  1 11:10:14 GMT 2019,7.5,162114
