datetime,cpu,mem
Thu Aug  1 11:21:48 GMT 2019,1.8,95918
Thu Aug  1 11:21:48 GMT 2019,1.8,96465
Thu Aug  1 11:21:48 GMT 2019,18,127194
Thu Aug  1 11:21:48 GMT 2019,18,138422
Thu Aug  1 11:21:49 GMT 2019,18,138446
Thu Aug  1 11:21:49 GMT 2019,18,138525
Thu Aug  1 11:21:49 GMT 2019,18,138521
Thu Aug  1 11:21:49 GMT 2019,18,138521
Thu Aug  1 11:21:50 GMT 2019,18,138501
Thu Aug  1 11:21:50 GMT 2019,18,138479
Thu Aug  1 11:21:50 GMT 2019,18,138479
Thu Aug  1 11:21:50 GMT 2019,18,138483
Thu Aug  1 11:21:51 GMT 2019,18,138479
Thu Aug  1 11:21:51 GMT 2019,18,138475
Thu Aug  1 11:21:51 GMT 2019,18,138479
Thu Aug  1 11:21:51 GMT 2019,18,138593
Thu Aug  1 11:21:52 GMT 2019,18,138593
Thu Aug  1 11:21:52 GMT 2019,18,138773
Thu Aug  1 11:21:52 GMT 2019,18,138802
Thu Aug  1 11:21:52 GMT 2019,18,138810
Thu Aug  1 11:21:53 GMT 2019,18,138806
Thu Aug  1 11:21:53 GMT 2019,18,137927
Thu Aug  1 11:21:53 GMT 2019,18,137943
Thu Aug  1 11:21:53 GMT 2019,18,138010
Thu Aug  1 11:21:54 GMT 2019,18,138005
Thu Aug  1 11:21:54 GMT 2019,28,137964
Thu Aug  1 11:21:54 GMT 2019,28,137964
Thu Aug  1 11:21:55 GMT 2019,28,138006
