datetime,cpu,mem
Thu Aug  1 10:49:52 GMT 2019,10,92652
Thu Aug  1 10:49:52 GMT 2019,10,97809
Thu Aug  1 10:49:53 GMT 2019,10,122118
Thu Aug  1 10:49:53 GMT 2019,10,130626
Thu Aug  1 10:49:53 GMT 2019,10,147294
Thu Aug  1 10:49:53 GMT 2019,10,147470
Thu Aug  1 10:49:54 GMT 2019,10,147470
Thu Aug  1 10:49:54 GMT 2019,10,147469
Thu Aug  1 10:49:54 GMT 2019,10,147437
Thu Aug  1 10:49:54 GMT 2019,10,147434
Thu Aug  1 10:49:55 GMT 2019,10,147434
Thu Aug  1 10:49:55 GMT 2019,10,147438
Thu Aug  1 10:49:55 GMT 2019,10,147438
Thu Aug  1 10:49:55 GMT 2019,10,147437
Thu Aug  1 10:49:56 GMT 2019,10,147441
Thu Aug  1 10:49:56 GMT 2019,10,133836
Thu Aug  1 10:49:56 GMT 2019,10,133861
Thu Aug  1 10:49:57 GMT 2019,10,133993
Thu Aug  1 10:49:57 GMT 2019,10,133993
Thu Aug  1 10:49:57 GMT 2019,10,133993
Thu Aug  1 10:49:57 GMT 2019,10,133521
Thu Aug  1 10:49:58 GMT 2019,10,150702
Thu Aug  1 10:49:58 GMT 2019,10,150998
Thu Aug  1 10:49:58 GMT 2019,10,134136
Thu Aug  1 10:49:59 GMT 2019,10,150840
Thu Aug  1 10:49:59 GMT 2019,10,150748
Thu Aug  1 10:49:59 GMT 2019,10,150748
Thu Aug  1 10:49:59 GMT 2019,10,150748
Thu Aug  1 10:50:00 GMT 2019,10,150730
Thu Aug  1 10:50:00 GMT 2019,10,150734
Thu Aug  1 10:50:00 GMT 2019,10,135569
Thu Aug  1 10:50:00 GMT 2019,10,135890
Thu Aug  1 10:50:01 GMT 2019,10,136329
Thu Aug  1 10:50:01 GMT 2019,10,136359
Thu Aug  1 10:50:01 GMT 2019,10,136376
Thu Aug  1 10:50:02 GMT 2019,10,136376
Thu Aug  1 10:50:02 GMT 2019,10,153412
Thu Aug  1 10:50:02 GMT 2019,10,153592
Thu Aug  1 10:50:02 GMT 2019,10,153244
Thu Aug  1 10:50:03 GMT 2019,10,153248
Thu Aug  1 10:50:03 GMT 2019,10,153252
Thu Aug  1 10:50:03 GMT 2019,10,136673
Thu Aug  1 10:50:04 GMT 2019,10,136225
Thu Aug  1 10:50:04 GMT 2019,10,152809
Thu Aug  1 10:50:04 GMT 2019,10,152781
Thu Aug  1 10:50:04 GMT 2019,10,152785
Thu Aug  1 10:50:05 GMT 2019,10,152785
Thu Aug  1 10:50:05 GMT 2019,10,152785
Thu Aug  1 10:50:05 GMT 2019,10,152785
Thu Aug  1 10:50:05 GMT 2019,10,152785
Thu Aug  1 10:50:06 GMT 2019,10,152801
Thu Aug  1 10:50:06 GMT 2019,10,152801
Thu Aug  1 10:50:06 GMT 2019,10,152865
Thu Aug  1 10:50:07 GMT 2019,10,152865
Thu Aug  1 10:50:07 GMT 2019,10,152865
Thu Aug  1 10:50:07 GMT 2019,10,152861
Thu Aug  1 10:50:07 GMT 2019,10,152809
Thu Aug  1 10:50:08 GMT 2019,10,152861
Thu Aug  1 10:50:08 GMT 2019,10,152933
Thu Aug  1 10:50:08 GMT 2019,10,153012
Thu Aug  1 10:50:08 GMT 2019,10,153334
Thu Aug  1 10:50:09 GMT 2019,10,153502
Thu Aug  1 10:50:09 GMT 2019,10,153597
Thu Aug  1 10:50:09 GMT 2019,10,153537
Thu Aug  1 10:50:10 GMT 2019,10,153581
Thu Aug  1 10:50:10 GMT 2019,10,153617
Thu Aug  1 10:50:10 GMT 2019,10,153661
Thu Aug  1 10:50:10 GMT 2019,10,153711
Thu Aug  1 10:50:11 GMT 2019,10,153751
Thu Aug  1 10:50:11 GMT 2019,10,153799
Thu Aug  1 10:50:11 GMT 2019,10,153835
Thu Aug  1 10:50:11 GMT 2019,10,153895
Thu Aug  1 10:50:12 GMT 2019,10,153911
Thu Aug  1 10:50:12 GMT 2019,10,153955
Thu Aug  1 10:50:12 GMT 2019,10,153971
Thu Aug  1 10:50:13 GMT 2019,10,154039
Thu Aug  1 10:50:13 GMT 2019,10,154091
Thu Aug  1 10:50:13 GMT 2019,10,154139
Thu Aug  1 10:50:13 GMT 2019,10,154163
Thu Aug  1 10:50:14 GMT 2019,10,154207
Thu Aug  1 10:50:14 GMT 2019,10,154251
Thu Aug  1 10:50:14 GMT 2019,10,154275
Thu Aug  1 10:50:15 GMT 2019,10,154327
Thu Aug  1 10:50:15 GMT 2019,10,154303
Thu Aug  1 10:50:15 GMT 2019,10,154323
Thu Aug  1 10:50:15 GMT 2019,10,154339
Thu Aug  1 10:50:16 GMT 2019,10,154307
Thu Aug  1 10:50:16 GMT 2019,10,154311
