datetime,cpu,mem
Thu Aug  1 11:18:19 GMT 2019,7.6,93146
Thu Aug  1 11:18:19 GMT 2019,7.6,93705
Thu Aug  1 11:18:19 GMT 2019,7.6,119731
Thu Aug  1 11:18:20 GMT 2019,7.6,180574
Thu Aug  1 11:18:20 GMT 2019,7.6,131247
Thu Aug  1 11:18:20 GMT 2019,7.6,148109
Thu Aug  1 11:18:20 GMT 2019,7.6,148093
Thu Aug  1 11:18:21 GMT 2019,7.6,148092
Thu Aug  1 11:18:21 GMT 2019,7.6,148086
Thu Aug  1 11:18:21 GMT 2019,7.6,148050
Thu Aug  1 11:18:21 GMT 2019,7.6,148050
Thu Aug  1 11:18:22 GMT 2019,7.6,148050
Thu Aug  1 11:18:22 GMT 2019,7.6,148054
Thu Aug  1 11:18:22 GMT 2019,7.6,148054
Thu Aug  1 11:18:22 GMT 2019,7.6,148052
Thu Aug  1 11:18:23 GMT 2019,7.6,152633
Thu Aug  1 11:18:23 GMT 2019,7.6,153440
Thu Aug  1 11:18:23 GMT 2019,7.6,153330
Thu Aug  1 11:18:23 GMT 2019,7.6,153524
Thu Aug  1 11:18:24 GMT 2019,7.6,154288
Thu Aug  1 11:18:24 GMT 2019,7.6,154400
Thu Aug  1 11:18:24 GMT 2019,7.6,153838
Thu Aug  1 11:18:24 GMT 2019,7.6,153838
Thu Aug  1 11:18:25 GMT 2019,7.6,153881
